time,avg_generation solar,avg_generation wind onshore,avg_total load actual,max_generation solar,max_generation wind onshore,max_total load actual
2015-11-09,1872.2083333333333,3081.0,27287.791666666668,4755.0,6023.0,30996.0
2015-11-10,587.7083333333334,2290.75,22796.625,1842.0,3188.0,26549.0
2015-11-11,1280.3333333333333,807.5416666666666,28352.875,3923.0,2534.0,33113.0
2015-11-12,486.4583333333333,2281.5416666666665,30452.708333333332,1966.0,2828.0,34865.0
2015-11-13,1138.4166666666667,2664.2916666666665,28249.916666666668,3677.0,5226.0,32582.0
2015-11-14,1157.6666666666667,2501.2083333333335,25008.916666666668,3825.0,4903.0,28483.0
2015-11-15,1087.375,1744.5833333333333,23250.625,3510.0,2576.0,28119.0
2015-11-16,1069.3333333333333,2543.7916666666665,28193.791666666668,3574.0,3432.0,33513.0
2015-11-17,1014.9166666666666,3304.4166666666665,29026.708333333332,3400.0,4409.0,33986.0
2015-11-18,1063.2916666666667,2036.75,29041.0,3579.0,2772.0,33931.0
2015-11-19,1029.2916666666667,2448.625,28919.0,3412.0,3605.0,33912.0
2015-11-20,893.9583333333334,7883.875,28887.125,3163.0,14741.0,33023.0
2015-11-21,599.6666666666666,14116.5,26075.458333333332,2043.0,15806.0,29284.0
2015-11-22,844.5416666666666,7704.333333333333,24525.541666666668,3082.0,10348.0,29519.0
2015-11-23,1157.3333333333333,5317.666666666667,30242.666666666668,4124.0,7061.0,36179.0
2015-11-24,1046.2083333333333,5759.125,31496.791666666668,3798.0,7774.0,37201.0
2015-11-25,867.5,11826.25,31191.125,3282.0,13727.0,36304.0
2015-11-26,1053.8333333333333,11357.041666666666,30871.583333333332,3640.0,11915.0,36010.0
2015-11-27,1114.3333333333333,7198.416666666667,30339.333333333332,3709.0,10586.0,34610.0
2015-11-28,1139.6666666666667,6128.791666666667,27166.5,3861.0,7626.0,30878.0
2015-11-29,1226.9166666666667,2935.4166666666665,25305.375,4145.0,4251.0,30633.0
2015-11-30,1168.2916666666667,2266.7083333333335,30692.083333333332,4035.0,3895.0,36594.0
2015-12-01,840.125,5968.625,31791.583333333332,3270.0,8158.0,37433.0
2015-12-02,783.6086956521739,1938.7826086956522,33006.47826086957,2603.0,3065.0,38753.0
2015-12-03,2006.0833333333333,3382.8333333333335,29009.041666666668,5300.0,7977.0,34214.0
2015-12-04,1576.5833333333333,6035.0,23526.458333333332,4437.0,8575.0,28198.0
2015-12-05,2185.25,3370.875,28789.875,5185.0,5944.0,33010.0
2015-12-06,1395.2916666666667,2831.2083333333335,28476.375,3406.0,4706.0,32686.0
